id,label,size
/sites/www.studenti.unige.it/files/master/D.R.%204471%20del%2023_12_2016%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/mipa17.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20306%20proroga.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20406%20del%2010.02.2017%20BANDO%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20297%20del%2001_02_2017%20F.TO%20Bando.pdf,,1
/sites/www.studenti.unige.it/files/master/formazione%20tutoriale16.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%203677%20del%2003_11_2016.pdf,,1
/sites/www.studenti.unige.it/files/master/proroga_traduzionedeilinguaggi.pdf,,1
/sites/www.studenti.unige.it/files/master/decreto1008.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%202952%20del%2015set2016%20firmato-1.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%202750%20del%2009_08_2016%20BANDO%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/decreto_chemicals.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R%20%202748%20del%2009_08_2016%20BANDO%20F.TO%20.pdf,,1
/sites/www.studenti.unige.it/files/master/mawe_rev.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%202614%20del%202_8_2016%20BANDO%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%202616%20del%202_8_2016%20BANDO%20firmato.pdf,,1
/postlaurea/master/scaduti/chiusi/?page=2,Master universitari scaduti,36792
/sites/www.studenti.unige.it/files/master/D.R.%20169%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20170%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.n.%204164%20deL%2031.10.2017%20F.TO%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20234%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%204165%20del%2031.10.2017%20F.TO%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20260%20F.TO%20.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20157%20del%2016.01.2018%20fto.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20n.%20173%20del%2017.01.2018%20fto.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20508%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20172%20ORIGINALE.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20184%20ORIGINALE.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20160%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20n.%20158%20del%2016.01.2018%20fto.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20743%20del%2026.02.2018%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20236%20del%2023.1.2018%20BANDO%20FTO.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20553%20del%2015_02_2018INTEGRAZIONI%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20riapertura%20termini%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%203613%20del%202.10.2017%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%205104%20del%2022.12.2017%20BANDO%20F.TO%281%29.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%203927%20del%2019102017%20firmato.pdf,,1
/postlaurea/master/scaduti/chiusi/?page=3,Master universitari scaduti,39125
/sites/www.studenti.unige.it/files/master/DR%20159%20del%2016.1.2018%20fto.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%202989%20del%209_8_17.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.3792%20del%2011%20ottobre%202017%20%20%28proroga%29%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/BANDO%20I%20Livello%2020172018%20DEF%20firmato..pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%203798%20del%2011%20ottobre%202017%20BANDO%20II%20Livello%2020172018%20DEF.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n%202503%20del%2011_07_2017%20FTO.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%204694%20del%2028_11_2017%20aumento%20%20n.%20max.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%202990%20del%209_8_17.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%203998%20del%2024_10_2017%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%202813%20del%201_8_2017%20BANDO.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20966%20del%2017_3_2017%20Bando%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%201883%20del%2026.05.2017%20FTO.pdf,,1
/sites/www.studenti.unige.it/files/master/MPL%20D.R.%20%20307%20%20del%2002.02.2017%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%202164%20riapertura%20del%2016_06_2017%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%202473%20del%2011_07_2017%20Fto.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20oncoplastica%20DR%202818%20del%201_8_17%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%201882%20del%2026.05.2017%20FTO.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20%20n.%202812del%2001_08_2017%20%20riapertura%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%202127%20del%2013.06.217%20BANDO%20FTO.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%202645%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/nota%20miur.pdf,,1
/sites/www.studenti.unige.it/files/master/bando_indicazioni.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%202023%20del%207_6_2017.pdf,,1
/sites/www.studenti.unige.it/files/master/bando_organizzazione.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%202025%20del%207_5_2017.pdf,,1
/postlaurea/master/scaduti/chiusi/?page=1,Master universitari scaduti,36895
/sites/www.studenti.unige.it/files/master/D.R.%20182%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Posturologia%201819%20DA%20PUBBL.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20436%20del%208_02_2018.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20167%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%201316%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/Modifica%20Bando%20%28riapertura%20termini%29%20Industria%204.0.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20n.%20174%2017.01.2018%20fto.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20741%20del%2026_02_2018%20INTEGRAZIONI.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%201994%20del%2015_05_2018riaperture%20domande%20di%20ammissione.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%201248%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Global%20Rule%2018-19%20da%20pubbl.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20183%20ORIGINALE.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R%20.166%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20163%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R%20.165%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20164%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%20509%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20162%20ORIGINALE.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20168%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20171%20ORIGINALE.pdf,,1
/postlaurea/master/scaduti/chiusi/,Master universitari scaduti,38162
/postlaurea/master/scaduti/chiusi/?page=9,Master universitari scaduti,36653
/sites/www.studenti.unige.it/files/master/MSL%20Progettista%20Edile_01-08-2014.pdf,,1
/sites/www.studenti.unige.it/files/master/Riapprogettistaedile.pdf,,1
/sites/www.studenti.unige.it/files/master/Avviso%20Progettista%20Edile.doc,,1
/sites/www.studenti.unige.it/files/master/MPL_Esperto_biotecn_prod_alimentari_18-07-2014.pdf,,1
/sites/www.studenti.unige.it/files/master/geomatica_2014.pdf,,1
/sites/www.studenti.unige.it/files/master/MSL_System_30-7-2014.pdf,,1
/sites/www.studenti.unige.it/files/master/msl_mipetv13-02-14.pdf,,1
/sites/www.studenti.unige.it/files/master/International%20Student%20Guidelines.pdf,,1
/sites/www.studenti.unige.it/files/master/masmet13-14.pdf,,1
/sites/www.studenti.unige.it/files/master/bioeticaapplcampsan031213.pdf,,1
/sites/www.studenti.unige.it/files/master/manag_inferm_ost14.pdf,,1
/sites/www.studenti.unige.it/files/master/MPL_trad_economico-13-14_def.pdf,,1
/sites/www.studenti.unige.it/files/master/MPL_Trad_giuridico_13-14_def.pdf,,1
/sites/www.studenti.unige.it/files/master/teledidattica11-2013.pdf,,1
/sites/www.studenti.unige.it/files/master/FORTEMARE.pdf,,1
/sites/www.studenti.unige.it/files/master/MSL_OncoplasticaIII.pdf,,1
/sites/www.studenti.unige.it/files/master/Riap-oncoplastica-III-13-14.pdf,,1
/sites/www.studenti.unige.it/files/master/MPL_%20Nanobiotec27-8-2013.pdf,,1
/sites/www.studenti.unige.it/files/master/AVVISOnanobiotechnologyProroga.pdf,,1
/sites/www.studenti.unige.it/files/master/implantoprot_II_0.pdf,,1
/sites/www.studenti.unige.it/files/master/II-Riap-implantoprotesi.pdf,,1
/offertaformativa/,Offerta formativa,3277
/mediodontoarch/,,1
/iscrizioni/preimmatricolazioni/,,1
/offertaformativa/corsi_elearning/,,1
/offertaformativa/strutt_perc/,,1
/offertaformativa/verifica/,,1
/offertaformativa/adesaur/,,1
